Dictionary,Type,Countries
Midende Zorro,Individual,AU
Mighty,Individual,AU
Miholap Dmitry Anatolievich,Individual,"NZ, AU"
Mike de Lavilla ,Individual,AU
Mike Umangis,Individual,AU
Mikhailov Oleg Alexeyevich,Individual,NZ
Mikhailov Sergei Patrovich,Individual,"NZ, AU"
MIKHAILOV Yevhenii Eduardovych,Individual,AU
MIKHAYLOV Evgeny Eduardovich,Individual,AU
MIKHAYLOV Yevgeniy,Individual,AU
Mikhaylov Yevgeniy Eduardovich,Individual,"NZ, AU"
MIKHEEV Alexander Alexandrovich,Individual,"NZ, AU"
MIKHELSON Leonid,Individual,AU
MIKHELSON Leonid Viktorovich,Individual,NZ
MIKHEYCHIK Vladimir Vladimirovich,Individual,"NZ, AU"
MIKHIEYCHIK Volodymyr Volodymyrovych,Individual,AU
Milad Osama,Individual,AU
Milad Rahman Salim,Individual,AU
Milan Lukić,Individual,AU
Milan Martić,Individual,AU
MILCHAKOV Alexei,Individual,AU
MILCHAKOV Alexey Yurevich,Individual,"NZ, AU"
MILCHAKOV Oleksiy,Individual,AU
Mile D Lavilla ,Individual,AU
MILHEM Kifa,Individual,AU
MILHIM Kifah,Individual,AU
Miller Alexei Borisovich,Individual,"NZ, AU"
Milomir Stakić,Individual,AU
Milonov Vitaly,Individual,AU
Milonov Vitaly Valentinovich,Individual,NZ
MILYUTINA Irina Nikolayevna,Individual,"NZ, AU"
Min Byong-chol,Individual,AU
Min Ch'oe So'k,Individual,AU
Min Pyo'ng-ch'o'l,Individual,AU
Min Son,Individual,AU
Ming Lui Wai,Individual,AU
Mire Mohamed,Individual,AU
Mire Mohamed Mohamud,Individual,AU
MIRHEIDARI Mohammad Reza,Individual,AU
MIRHEYDARY Mohammad Reza,Individual,AU
MIRONOV Sergei,Individual,AU
MIRONOV Sergei Mikhailovich,Individual,AU
Mironov Sergey Mikhailovich,Individual,NZ
MIRONOV Sergey Mikhaylovich,Individual,AU
Miroshnichenko Denis Nikolaevich,Individual,AU
Miroshnitchenko Denis  Nikolaevitch ,Individual,NZ
MIRZAEI Ahmed,Individual,AU
MIRZAEI Haj Ahmad,Individual,"NZ, AU"
MIRZAEI Hajahmad,Individual,AU
MIRZAYI Hajj Ahmad,Individual,AU
MISHAAL Khalid,Individual,AU
MISHAL Khalid,Individual,AU
MISHONOVA Ksenia Vladimirovna,Individual,AU
MISHONOVA Kseniia Volodymyrivna,Individual,AU
MISHONOVA Kseniya Vladimirovna,Individual,NZ
Mishustin Mikhail Vladimirovich,Individual,"NZ, AU"
Miskine Abdoulaye,Individual,AU
Miskine Abdoullaye,Individual,AU
Mitin Sergei Gerasimovich,Individual,"NZ, AU"
MIZINTSEV  Mikhail Yevgenyevich,Individual,"NZ, AU"
MIZULINA Elena Borisovna,Individual,AU
MIZULINA Olena Borysivna,Individual,AU
Mizulina Yelena Borisovna,Individual,"NZ, AU"
MKRTYCEV Asot,Individual,AU
MKRTYCHEV Ashot,Individual,AU
Mlamba Jules Mateso,Individual,AU
Mo’alin ,Individual,AU
Moatassam,Individual,AU
Mobarak Meshkhas Sanad Al-Bthaly,Individual,AU
Mochtar Yasin Mahmud,Individual,AU
Moe Banya Aung,Individual,AU
Moe Banya Ong,Individual,AU
Moe Banyar Aung,Individual,AU
Moe Banyar Ong,Individual,AU
Moe Nai Banya Aung,Individual,AU
Moe Nai Banya Ong,Individual,AU
Moe Nai Banyar Aung,Individual,AU
Moe Nai Banyar Ong,Individual,AU
Mohajir Shahab,Individual,AU
Mohajir Shihab,Individual,AU
Mohamad Abdulkarim ,Individual,AU
Mohamed Abbattay ,Individual,AU
Mohamed Abdul Quasim AL-ZWAI,Individual,AU
Mohamed Aboud Rogo,Individual,AU
MOHAMED Abushaaraya,Individual,AU
"Mohamed Al-Masri, Abu",Individual,AU
Mohamed AL‑SHAAR,Individual,AU
MOHAMED ALI NKALUBO ,Individual,AU
"Mohamed ALI, Yassin",Individual,AU
Mohamed Aouani (formerly listed as),Individual,AU
MOHAMED BELKALEM ,Individual,AU
Mohamed Ben Belgacem Awani  ,Individual,AU
Mohamed Ben Belgacem Ben Abdallah Al-Aouadi,Individual,AU
Mohamed Djaafar Abou,Individual,AU
Mohamed EL-HUWEJ,Individual,AU
Mohamed Gamel,Individual,AU
MOHAMED LAKHAL ,Individual,AU
Mohamed MA’ROUF,Individual,AU
Mohamed Mohamed Abdullah Al-Ahdal ,Individual,AU
Mohamed Mohamed Omar,Individual,AU
Mohamed Omar Ma’alin,Individual,AU
Mohammad ,Individual,AU
Mohammad ABDOLLAH-POUR,Individual,AU
Mohammad Abdul Jalil Haqqani Wali,Individual,AU
MOHAMMAD AHMED JAN WAZIR AKHTAR,Individual,AU
Mohammad Al-Ghamari,Individual,AU
Mohammad AL-SHA'AR,Individual,AU
Mohammad AL-SHAAR,Individual,AU
MOHAMMAD Arefullah Aref GHAZI,Individual,AU
MOHAMMAD ATIQULLAH WALI,Individual,AU
Mohammad Barzan Ibrahim Hasan Al-Tikriti,Individual,AU
Mohammad DIRGHAM ,Individual,AU
Mohammad Doost,Individual,AU
Mohammad Dost,Individual,AU
Mohammad DURGHAM ,Individual,AU
Mohammad Haji Khair,Individual,AU
Mohammad Hamdi Mohammad Sadiq Al-Ahdal,Individual,AU
Mohammad Hamidullah Akhund Sher,Individual,AU
Mohammad Hossein BAGHERI  ,Individual,AU
Mohammad Iadena,Individual,AU
Mohammad Ibrahim AL-CHAAR,Individual,AU
Mohammad Ibrahim AL-SHA’AR,Individual,AU
Mohammad Ibrahim AL-SHAAR,Individual,AU
Mohammad Jamal Abdo Ahmed ,Individual,AU
Mohammad Mawlawi Gul,Individual,AU
Mohammad Mohammad Sadiq Amir,Individual,AU
Mohammad Nazar,Individual,AU
Mohammad Nik Mohammad Dost,Individual,AU
Mohammad Qari Din,Individual,AU
Mohammad Reza MOHAMMADI ,Individual,AU
Mohammad Reza QARA'I-ASHTIANI,Individual,AU
Mohammad Sadegh HEIDARI MOUSA ,Individual,AU
Mohammad Sarwar Siddiqmal ,Individual,AU
Mohammad Shafiq Ahmadi (previously listed as),Individual,AU
Mohammad Wali,Individual,AU
Mohammad Wali (previously listed as),Individual,AU
Mohammadi Mohammad Shafiq,Individual,AU
MOHAMMADLU Beik,Individual,AU
Mohammed Abu,Individual,AU
Mohammed Abu Mohammed Abubakar bin,Individual,AU
Mohammed Abu Muhammed Abubakar bi,Individual,AU
Mohammed Akhtar Mohammad Mansour Shah,Individual,AU
Mohammed al-Masri,Individual,AU
Mohammed Ali,Individual,AU
Mohammed Ali AL-HOUEIZ,Individual,AU
Mohammed Aman ,Individual,AU
Mohammed Bashir Mahmud,Individual,AU
Mohammed Hassan Ibrahim ,Individual,AU
MOHAMMED Khalid Shaikh,Individual,AU
Mohammed MA’RUF,Individual,AU
Mohammed Omar Uthman,Individual,AU
"Mohammed Qasim MIR WALI Khudai Rahim 
",Individual,AU
"Mohammed TUFFAIL, Sheik",Individual,AU
Mohamoud Bashir Mohamed,Individual,AU
Mohamud Bashir Mohamed,Individual,AU
Mohsen ASADI ,Individual,AU
Moklis Yunos Umpara,Individual,AU
Molah Fazl ,Individual,AU
Molvi Abdursalam Bhattvi ,Individual,AU
Moneer ADANOV ,Individual,AU
Monzer Jamil AL‑ASSAD,Individual,AU
Moor Aleksandr Viktorovich,Individual,"NZ, AU"
MOOR Alexander Viktorovich,Individual,AU
MOOR Oleksandr Viktorovych,Individual,AU
Morad Laaboudi ,Individual,AU
MORADI Ali Reza,Individual,AU
MORADI Ali-Reza,Individual,AU
MORADI Alireza,Individual,AU
MORADICHOGHAMARANI Ali Reza,Individual,AU
Mordaschov Alexey Alexandrovits,Individual,"NZ, AU"
MORENO Miguel Antonio Larios,Individual,AU
Moroccan Abu Abdurrahman the,Individual,AU
Morozov Igor Nikolayevich,Individual,"NZ, AU"
Morozov Oleg Victorovich,Individual,"NZ, AU"
Morozov Sergey Ivanovich,Individual,NZ
MOROZOV Vladimir Mikhailovich,Individual,AU
MOROZOVA Daria Vasylivna,Individual,AU
MOROZOVA Darya Vasilevna,Individual,AU
MOROZOVA Darya Vasilievna,Individual,NZ
Morteza REZA'I,Individual,AU
Moscow Kirill I of,Individual,AU
MOSHKOVICH Vadim Nikolaevich,Individual,"NZ, AU"
MOSKALKOVA Tatiana Nikolaevna,Individual,AU
MOSKALKOVA Tatiana Nikolajevna,Individual,AU
MOSKALKOVA Tatyana Nikolaevna,Individual,"NZ, AU"
Moskvichev Evgeny Sergeyevich,Individual,"NZ, AU"
Mossa Ag,Individual,AU
Mostafa Damel,Individual,AU
Mostafa Djamal,Individual,"NZ, AU"
Mostafa Djamel,Individual,"NZ, AU"
Mostafa Kamel Mostafa ,Individual,AU
Mostafa Mohamed Amin,Individual,AU
Motaqi Amir Khan,Individual,AU
MOTASSADEQ MOUNIR EL,Individual,AU
Motlaq Amer Al-MARRANI,Individual,AU
Motmaen Abdulhai,Individual,AU
Mouhadjir Abou,Individual,AU
Mouhajer Omar El,Individual,AU
Moukatel Abou al,Individual,AU
Mouldi Hamroui Kamel ben,Individual,AU
MOULHEM Kifah,Individual,AU
Mounir el Moutassadeq  ,Individual,AU
Mouqatel Abou,Individual,AU
MOUSAVI Sayyed Abdolrahim,Individual,AU
MOUSAVI Seyed Abdolrahim,Individual,AU
MOUSAVI Seyyed Abdol Rahim,Individual,AU
MOUSAVI Seyyed Abdolrahim,Individual,AU
MOUSAVI Seyyed Abdul Rahim,Individual,AU
MOUSAVI Seyyed Abdul-Rahim,Individual,AU
Moussa Bah Ag,Individual,AU
Moustfa Djamel,Individual,AU
Moustfa Fjamel,Individual,AU
Mozhilovsky Igor Vladimirovich,Individual,"NZ, AU"
Mpamo Douglas Iruta,Individual,AU
MPAMO Iruta Douglas,Individual,AU
Mpano,Individual,AU
MU RI YONG,Individual,AU
Mu’Tassim Yahya ‘Ali Al-Rumaysh,Individual,AU
Muadz Abu,Individual,AU
MUALLA Badi Sulayman,Individual,AU
Muamar Abu,Individual,AU
Muatasimbllah,Individual,AU
Muatasmblla,Individual,AU
Muaz Al Zawahry Aiman Mohamed Rabi Abdel,Individual,AU
Mubarak Al-Bathali,Individual,AU
Mubarak Mishkhas Sanad Al-Bathali,Individual,AU
Mubarak Mishkhas Sanad Al-Bazali,Individual,AU
Mubarak Mishkhis Sanad Al-Badhali,Individual,AU
Mubarak Mishkhis Sanad Al-Bathali,Individual,AU
Mubarak Mushakhas Sanad Mubarak Al-Bathali,Individual,AU
Mubarok,Individual,AU
Mubarok Muhamad,Individual,AU
Mucchad,Individual,AU
MUCHKAEV Sergey Borisovich,Individual,AU
MUCHKAYEV Sergey Borisovich,Individual,AU
Mudacumura General,Individual,AU
MUDACUMURA Sylvestre,Individual,AU
Mudir Haji,Individual,AU
MUFLEH Mohammad,Individual,AU
MUFLIH Mohammad,Individual,AU
MUGABE Grace,Individual,AU
MUGARAGU LEODOMIR,Individual,AU
MUGHASSIL Ahmad Ibrahim AL,Individual,AU
MUGHASSIL Ahmed Ibrahim AL,Individual,AU
Muhajer Shahab,Individual,AU
Muhajer Shihab,Individual,AU
Muhajir Abu Sulayman al,Individual,AU
Muhajir Dr. Shahab al,Individual,AU
Muhajir Musa,Individual,AU
Muhajir Shihab al,Individual,AU
Muhamad ZAMRINI ,Individual,AU
Muhamadmuhtar,Individual,AU
"Muhammad
Jamal Abu Ahmad ",Individual,AU
Muhammad 'Ali al-Shawakh ,Individual,AU
Muhammad Abd Al-Karim Al-Ghamari,Individual,AU
Muhammad Abd-al-Karim,Individual,AU
Muhammad Aboud Rogo,Individual,AU
Muhammad Abu,Individual,AU
Muhammad Ahmad Abd-al-Da’im,Individual,AU
Muhammad Akhtar Mohammad Mansour Khan,Individual,AU
Muhammad AL-CHAAR,Individual,AU
Muhammad Al-Dayf,Individual,AU
"Muhammad AL-HAMATI,",Individual,AU
Muhammad al-Jawlani,Individual,AU
Muhammad Al-Masri,Individual,AU
Muhammad AL‑CHA’AR,Individual,AU
Muhammad Allah Dad Tayeb Wali,Individual,AU
"Muhammad AMIN,",Individual,AU
Muhammad DIRGHAM ,Individual,AU
Muhammad Hafiz,Individual,AU
Muhammad Hussein,Individual,AU
MUHAMMAD JAMAL ABD-AL RAHIM AHMAD AL-KASHIF,Individual,"NZ, AU"
Muhammad Jamal Abd-Al Rahim Al-Kashif,Individual,AU
Muhammad Jamal Abdo Al-Kashif,Individual,AU
Muhammad Mati Ur-Rehman Ali,Individual,AU
Muhammad Muhammad Abdullah Al-Ahdal,Individual,AU
"Muhammad Qasim

",Individual,AU
Muhammad Sa'id 'Abd-al-Rahman al-Mawla,Individual,AU
Muhammad Saeed ,Individual,AU
MUHAMMAD SALEH MOHAMMAD KAKAR AKHTAR,Individual,AU
Muhammad Yunis Ahmad Al-Badrani,Individual,AU
Muhammad Yunis Ahmed Al-Moali,Individual,AU
Muhammad Yunis Al-Ahmed,Individual,AU
Muhammad Zafar Iqbal ,Individual,AU
Muhammad Zimam Abd-al-Razzaq Al-Sa'dun ,Individual,AU
Muhannad Al-Najdi ,Individual,AU
Muhelisi,Individual,AU
Muhindo Akili,Individual,AU
MUHSIN FADHIL AYED ASHOUR AL-FADHLI,Individual,AU
Muhsin Khadr Al-Khafaji,Individual,AU
Mujahid Mohammed Yahya,Individual,AU
MUJYAMBERE LEOPOLD,Individual,AU
Mukhametshin Farit Mubarakshevich,Individual,"NZ, AU"
MUKULU Jamil,Individual,AU
Mullah Abdul Salaam Bhattvi ,Individual,AU
Mullah Gul Agha ,Individual,AU
Mullah Gul Agha Akhund ,Individual,AU
Mullah Mad Aman Ustad Noorzai ,Individual,AU
Mullah Mohammed Oman ,Individual,AU
Mullah Naeem Barech ,Individual,AU
Mullah Naim Barech ,Individual,AU
Mullah Naim Bareh ,Individual,AU
Mullah Naim Barich ,Individual,AU
Mullah Naimullah ,Individual,AU
MUN CHO’NG-CH’O’L,Individual,AU
Mun Chong-Chol,Individual,AU
Mun Kyo'ng-hwan,Individual,AU
Munandar Aris,Individual,AU
Mundhir Jamil AL‑ASSAD,Individual,AU
Mundir AL-ASSAD,Individual,AU
Mundos Charles Muhindo Akili,Individual,AU
Mundos Muhindo,Individual,AU
Mundos Muhindo Akili,Individual,AU
Muneer ADANOV ,Individual,AU
Muneer Al-Kubaisi,Individual,AU
Munir ADANOV ,Individual,AU
Munir ADNUF ,Individual,AU
Munir Al-Kubaysi,Individual,AU
Munsha Muhammad Ashraf,Individual,AU
Munzir AL-ASSAD,Individual,AU
Mupenzi General Major,Individual,AU
Muqti Fihiruddin,Individual,AU
Muqti Fikiruddin,Individual,AU
MURABU ,Individual ,AU
Murad Abdul Hakim,Individual,AU
Murad Abdul Hakim Ali al-Hashem,Individual,AU
MURADOV Georgiy L'vovich,Individual,AU
MURADOV Heorhiy Lvovych,Individual,AU
Muradov Rustam Usmanovich,Individual,"NZ, AU"
MURANOV Aleksandr  Yuryevich,Individual,NZ
Murashko  Mikhail Albertovich,Individual,"NZ, AU"
MURASHKO Mykhailo Albertovych,Individual,AU
Muratov Sergey Nikolayevich,Individual,"NZ, AU"
Murshid,Individual,AU
MURWANASHYAKA Ignace,Individual,AU
Mus'ab al-Qahtani ,Individual,AU
Musa,Individual,AU
MUSA Mohammad Sadegh HEIDARI,Individual,AU
Musab Abu,Individual,AU
Musalli Abd-al-Hamid,Individual,AU
Musatov Ivan,Individual,AU
Musatov Ivan Mikhailovich,Individual,NZ
MUSAVI Seyyed Adbolrahim,Individual,AU
Muscab Abu,Individual,AU
Musenyeri,Individual,AU
Musharaf Professor,Individual,AU
Mushtaq Qari,Individual,AU
MUSIIENKO Valerii Kostiantynovych,Individual,AU
Muslim,Individual,"NZ, AU"
Musoni IO,Individual,AU
MUSONI Straton,Individual,AU
Mustafa,Individual,AU
Mustafa Djamel,Individual,"NZ, AU"
Mustafa Muhammad ,Individual,AU
Mustafa Mustafa Kamel,Individual,AU
Mustafa Salim Mansur,Individual,AU
Mustapha Kamel Mustapha,Individual,AU
Mustapha Mustapha Kamel,Individual,AU
Mutebusi Jules,Individual,AU
Mutebutsi Colonel,Individual,AU
MUTEBUTSI JULES,Individual,AU
Mutebuzi Jules,Individual,AU
Muthana Abu,Individual,AU
Muthana Abu Al-Yemeni,Individual,AU
Muthana Haris al-Dari ,Individual,AU
Muthana Haris Al-Dhari ,Individual,AU
Muthanna Hareth al-Dari ,Individual,AU
Muthanna Hareth Al-Dhari ,Individual,AU
MUTHANNA HARITH AL-DARI ,Individual,AU
Muthanna Harith Sulayman Al-Dari ,Individual,AU
Muthanna Harith Sulayman Al-Dari al-Zawba'i ,Individual,AU
Muthanna Harith Sulayman Al-Dari Al-Zobai ,Individual,AU
Muthanna Harith Sulayman Al-Dhari ,Individual,AU
Muti al-Hamzi,Individual,AU
Mutsoev Zelimkhan Alikoevich,Individual,NZ
Muttaqi Amir Khan,Individual,AU
Muyassir al-Jiburi,Individual,AU
Muyassir al-Shammari ,Individual,AU
Muyassir Harara ,Individual,AU
Muzahim Sa’b Hassan Al-Tikriti,Individual,AU
MWARABU ,Individual ,AU
Mwissa Guidon Shimiray,Individual,AU
MYACHIN Viktor Evgenyevich,Individual,AU
MYAMURO Baudoin NGARUYE WA,Individual,AU
MYCHAYLOV Yevhen Eduardovych,Individual,AU
Myong Kim Kwang,Individual,AU
Myong Kim Tong,Individual,AU
MYRONOV Serhiy Mykhaylovych,Individual,AU
NABI Mohammed Omar GHULAM,Individual,AU
NABIULLINA Elvira Sakhipzadovna,Individual,"NZ, AU"
NACCACHE Anis,Individual,AU
NADERI Mohammad,Individual,AU
NADERIAN Ahmad,Individual,AU
NADERIAN Ahmed,Individual,AU
Nadra,Individual,AU
Nadre Daour,Individual,AU
Nadre Dour,Individual,"NZ, AU"
NAGHDI Mohammad Reza,Individual,AU
NAGHDI Mohammadreza,Individual,AU
Nagovitsyn Vyacheslav Vladimirovich,Individual,"NZ, AU"
Nahib HASSUN ,Individual,AU
Naim Abu,Individual,AU
Naim Bahrun,Individual,AU
Naim Berich ,Individual,AU
Naim Mohammad,Individual,AU
Naim Tala Mustafa TLASS ,Individual,AU
NAJEEB Atef,Individual,AU
NAJIB Atef,Individual,AU
NAJIB Atej,Individual,AU
NAJIB Atif,Individual,AU
NAJJAR Mostafa Mohammad,Individual,AU
Najmuddin Faraj Ahmad,Individual,AU
Nam Jang Sung,Individual,AU
Nam Kim Chol,Individual,AU
Nam Pak Bong,Individual,AU
Nam Pak Pong,Individual,AU
NAM YO’N CHO’NG,Individual,AU
Nanai Mawlawi,Individual,AU
Nangiali ,Individual,AU
NANUYLOV Yevhen Volodymyrovych,Individual,AU
Napso Yuri,Individual,AU
Napso Yuri Aisovich,Individual,NZ
NAQD Mohammad Reza,Individual,AU
NAQDI Gholam Reza,Individual,AU
NAQDI Mohammad Reza,Individual,AU
NAQDI Mohammad-Reza,Individual,AU
Narolin Alexander Vladimirovich,Individual,"NZ, AU"
NARUSOVA Liudmyla Borysivna,Individual,AU
NARUSOVA Lyudmila Borisovna,Individual,AU
Narusova Lyudmila Narusova,Individual,NZ
NARYSHKIN Sergei,Individual,AU
Naryshkin Sergei Yevgenyevich,Individual,NZ
NARYSHKIN Sergey Yevgenyevich,Individual,AU
NARYSHKIN Serhiy Yevhenovych,Individual,AU
Naseem Al,Individual,AU
Naseer Haqqani ,Individual,AU
Naser AL‑ALI,Individual,AU
NASER Wafiq,Individual,AU
Naseruddin,Individual,AU
Nashir Haqqani  ,Individual,AU
Nashwan Abd Al-Razzaq Abd Al-Baqi,Individual,AU
Nasim Al,Individual,AU
Nasim al-Sahrawi,Individual,AU
Nasir AL-ALI,Individual,AU
Nasir Mullah,Individual,AU
Nasir Muthana ,Individual,AU
Nasr AL‑ALI,Individual,AU
Nasr Muhammad,Individual,AU
Nasr Sanafi al,Individual,AU
Nasrallah Mohammed,Individual,AU
Nasrallah Mohammed Ahmed Abdul Da’im,Individual,AU
Nasrallah Muhammad,Individual,AU
NASRALLAH Muhammad Ahmad ABD AL-DAYIM,Individual,AU
Nasseem Al,Individual,AU
NASSEER Wafiq,Individual,AU
NASSER Abdel Karim AL,Individual,AU
NASSER Abdelkarim Hussein Mohamed AL,Individual,AU
Nasser Ahmed Muthana ,Individual,AU
Nasser AL-ALI,Individual,AU
NASSER Wafeeq,Individual,AU
NASSER Wafiq,Individual,"NZ, AU"
Nassir Haqqani ,Individual,AU
Nataliya Poluyanova ,Individual,AU
Naumenko Aleksandr Viktorovich,Individual,"NZ, AU"
NAUMETS Sergei Sergeevich,Individual,"NZ, AU"
Naumov Stanislav,Individual,AU
Naumov Stanislav Alexandrovich,Individual,NZ
NAVKA Tatiana Aleksandrovna,Individual,"NZ, AU"
NAVKA Tatyana Aleksandrovna,Individual,AU
NAWAZ RAHMATULLAH SHAH,Individual,AU
Nawfel AL-HUSAYN,Individual,AU
Nawful AL-HUSAYN,Individual,AU
Nayazi Abdul Manan,Individual,AU
Naydenko Oleksii Oleksiyovych,Individual,NZ
Nazar Khairullah Barakzai Khudai,Individual,AU
Nazarova Natalya,Individual,AU
Nazarova Natalya Vasilievna,Individual,NZ
NAZIH,Individual,AU
Ndjabu Floribert,Individual,AU
Ndjabu Floribert Ngabu,Individual,AU
Nebojša Pavković,Individual,AU
Nechaev Alexey Gennadievich,Individual,"NZ, AU"
NEIMOVICH Mikhail Alekseevich,Individual,AU
NEJAD Hossein ZIBAEE,Individual,AU
NEJAD Mohammad Hossein ZIBAEE,Individual,"NZ, AU"
NEJAD Mohammad ZIBAEE,Individual,AU
NEJAT Hossein,Individual,AU
NEJAT Mohammad Hossein,Individual,AU
NEJMOVICH Michail Aleksejevitj,Individual,AU
NEKRASHEVICH Andrey Konstantinovich,Individual,NZ
NEKRASOV Aleksander Nikolaevich,Individual,AU
NEKRASOV Aleksandr Nikolaevich,Individual,AU
Nekrasov Aleksandr Nikolayevich,Individual,NZ
NEKRASOV Oleksandr Mykolaiovych,Individual,AU
Nemkin Anton,Individual,AU
Nemkin Anton Igorevich,Individual,NZ
NEMTSEV Vladimir Vladimirovich,Individual,AU
NEMTSEV Volodymyr Volodymyrovych,Individual,AU
Neria BEN-PAZI,Individual,AU
Nesterov Oleg Yuryevich,Individual,NZ
NEVEROV Sergei Ivanovich,Individual,AU
NEVEROV Sergey,Individual,AU
Neverov Sergey Ivanovich,Individual,NZ
NEVEROV Serhiy Ivanovych,Individual,AU
Nevzorov Boris Alexandrovich,Individual,"NZ, AU"
NEZHAD Ismail,Individual,AU
Nezhdanova Yevgeniya Vitalyevna,Individual,NZ
Ngabu Floribert Njabu,Individual,AU
Ngaikoisset Eugene,Individual,AU
Ngaikosse Eugene Barret,Individual,AU
Ngaikosset Eugene,Individual,AU
Ngaikouesset Eugene,Individual,AU
Ngakosset,Individual,AU
Ngakosset Eugene,Individual,AU
NGARUYE Colonel Baudoin,Individual,AU
Ngudjolo Cui,Individual,AU
"NGUDJOLO MATHIEU, CHUI",Individual,AU
NIA Hossein SAJEDI,Individual,AU
Niazi Abdul Manan,Individual,AU
NIAZI Majid Reza,Individual,AU
Nidal Al-Rabi'i,Individual,AU
NIEVIEROV Serhii Ivanovych,Individual,AU
Nifantiev Evgeniy,Individual,AU
Nifantiev Evgeny Olegovich,Individual,NZ
Nik Mohammad (previously listed as),Individual,AU
Nikitin Alexander Valeryevich,Individual,"NZ, AU"
NIKITIN Andrei Sergeyevich,Individual,AU
Nikitin Andrey Sergeevich,Individual,"NZ, AU"
NIKITIN Gleb Sergeevich,Individual,AU
NIKITIN Hlib Serhiiovych,Individual,AU
Nikitin Vasilii  Alexandrovich ,Individual,NZ
NIKITIN Vasilii Aleksandrovich,Individual,AU
NIKITIN Vasiliy,Individual,AU
NIKITIN Vasiliy Aleksandrovich,Individual,AU
NIKITIN Vasiliy Aleksdandrovich,Individual,AU
NIKITIN Vasiliy Alesdandrovich,Individual,AU
NIKITIN Vasyl Oleksandrovych,Individual,"NZ, AU"
NIKOLAEV Aisen Serhiiovych,Individual,AU
Nikolaev Nikolai Petrovich,Individual,NZ
Nikolaev Nikolay,Individual,AU
NIKOLAEV Oleh Oleksiiovych,Individual,AU
Nikolaeva Victoria Victorovna,Individual,"NZ, AU"
Nikolai PESKOV ,Individual,AU
"Nikolay Ivanovich RIZHKOV
",Individual,AU
Nikolayev Aysen Sergeyevich,Individual,"NZ, AU"
Nikolayev Oleg Alekseyevich,Individual,"NZ, AU"
Nikolov Aleksey Lvovich,Individual,AU
Nikolov Alexey Lvovich,Individual,AU
NIKONOROVA Nataliia Yuriivna,Individual,AU
NIKONOROVA Natalya Yurevna,Individual,AU
NIKONOROVA Natalya Yurievna,Individual,AU
NIKONOROVA Natalya Yuryevna,Individual,AU
Nikonov Vyacheslav,Individual,AU
Nikonov Vyacheslav Alekseevich ,Individual,NZ
NILFOROSHAN Abbas,Individual,AU
NILFRUSHAN Abbas,Individual,AU
NILFRUSHAN Abbas Mortaza,Individual,AU
Nilov Oleg,Individual,AU
Nilov Oleg Anatolievich,Individual,NZ
Nilov Yaroslav Evgenievich,Individual,"NZ, AU"
NISANOV God Semenovich,Individual,"NZ, AU"
NJABU Floribert Ngabu,Individual,AU
NKALUBO MEDDIE,Individual,AU
Nkoumtamadji Martin,Individual,AU
Nkunda General,Individual,AU
NKUNDA Laurent,Individual,AU
Nkundabatware Laurent,Individual,AU
Nofal AL-HUSAYN,Individual,AU
Nomani Hamdullah,Individual,AU
Noor Ahmed ,Individual,AU
Noor Barzan Ibrahim Hasan Al-Tikriti,Individual,AU
Noor Haji Faizullah,Individual,AU
Noor Hamdullah Allah,Individual,AU
Noor ud Din Turabi ,Individual,AU
Noorani Mohammad Aleem,Individual,AU
Noori Haji Faizullah,Individual,AU
Noori Norullah,Individual,AU
Noorzai Abdul Basir,Individual,AU
Noorzai Haji Basir,Individual,AU
Noorzai Haji Malek,Individual,AU
Noorzai Haji Pazullah,Individual,AU
Noorzai Hajji Faizullah Khan,Individual,AU
Noorzai Hajji Malak,Individual,AU
Noorzai Hajji Malik,Individual,AU
Noorzai Malik,Individual,AU
Noorzai Mullah Ahmed Shah,Individual,AU
Noorzai Mullah Mohammad Aman Ustad,Individual,AU
Norezai  Haji Faizuulah Khan,Individual,AU
NOROV Erkin RAKHMATOVICH,Individual,NZ
Norwegian Abu Abdurrahman the,Individual,AU
NOSATOV Alexander,Individual,AU
NOSATOV Alexander Mihailovich,Individual,AU
Nosatov Alexander Mikhailovich,Individual,"NZ, AU"
NOSATOV Oleksandr Mykhaylovych,Individual,AU
NOSKOV Vasiliy Viktorovich,Individual,NZ
NOSOV Sergei Konstantinovich,Individual,AU
Nosov Sergey Konstantinovich,Individual,"NZ, AU"
NOUR Mohammad Mehdi Nejad,Individual,AU
Noureddine Ben Ali Ben Belkassem Al-Drissi,Individual,AU
Noureddine Drissi,Individual,AU
NOURI Mohammad Mehdi Nejad,Individual,AU
NOURI Mohammad Mehdi Nezhad,Individual,AU
"Nourredine ADAM

",Individual,AU
NOVAK Aleksandr Valentinovich,Individual,AU
NOVAK Alexander Valentinovich,Individual,"NZ, AU"
Novichkov Nikolay Vladimirovich,Individual,"NZ, AU"
Novikov Aleksandr Vladimirovich,Individual,NZ
Novikov Dmitry,Individual,AU
Novikov Dmitry Georgievich,Individual,NZ
NOVIKOV Yan Valentinovich,Individual,AU
NOVIKOV Yan Valentynovych,Individual,AU
NOVITSKI Evgeni Grigorevich,Individual,AU
NOVITSKY Evgeny Grigorievich,Individual,"NZ, AU"
Noviukhov Alexander Vyacheslavovich,Individual,"NZ, AU"
Novozhilov Viktor Feodosyevich,Individual,"NZ, AU"
NOZHKIN Dmitriy Yur’yevich,Individual,AU
NOZHKIN Dmitry Yurievich,Individual,AU
