Ідентифікатор в реєстрі,Ім'я/назва суб'єкта,Тип,Статус,Указ Президента,Дата введення в дію,США,Велика Британія,Канада,ЄС,Швейцарія,Японія,Австралія,Нова Зеландія,Посилання на рішення
22615,"Акціонерне товариство ""Регіональний центр захисту інформації ""Форт""",legal,active,192/2023,2023-04-01,,,,,,,,,
22616,"Акціонерне товариство ""Редкінське дослідно-конструкторське бюро автоматики""",legal,active,192/2023,2023-04-01,,,,,,,,,
22617,"Акціонерне товариство ""Самарська кабельна компанія""",legal,active,192/2023,2023-04-01,,,,,,,,,
22618,"Акціонерне товариство ""Саранський приладобудівний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22619,"Акціонерне товариство ""Саратовський електротехнічний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22620,"Акціонерне товариство ""Сатіс-ТЛ-94""",legal,active,192/2023,2023-04-01,,,,,,,,,
22621,"Акціонерне товариство ""Сет-1""",legal,active,192/2023,2023-04-01,,,,,,,,,
22622,"Акціонерне товариство ""Скарделектронікс""",legal,active,192/2023,2023-04-01,,,,,,,,,
22623,"Акціонерне товариство ""Сучасні безпровідні технології""",legal,active,192/2023,2023-04-01,,,,,,,,,
22624,"Акціонерне товариство ""Соєдінітєль""",legal,active,192/2023,2023-04-01,,,,,,,,,
22625,"Акціонерне товариство ""Спеціальне конструкторське бюро приладів підземної навігації""",legal,active,192/2023,2023-04-01,,,,,,,,,
22626,"Акціонерне товариство ""Спеціальне конструкторсько-технологічне бюро Кольцова""",legal,active,192/2023,2023-04-01,,,,,,,,,
22627,"Акціонерне товариство ""Спеціальні технології і машинобудування""",legal,active,192/2023,2023-04-01,,,,,,,,,
22628,"Акціонерне товариство ""Спєцпрібор""",legal,active,192/2023,2023-04-01,,,,,,,,,
22629,"Акціонерне товариство ""Тестприбор""",legal,active,192/2023,2023-04-01,,,,,,,,,
22630,"Акціонерне товариство ""Технічні системи і технології""",legal,active,192/2023,2023-04-01,,,,,,,,,
22631,"Акціонерне товариство ""Технологія магнітних матеріалів""",legal,active,192/2023,2023-04-01,,,,,,,,,
22632,"Акціонерне товариство ""Тюменський електромеханічний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22633,"Акціонерне товариство ""Уралкабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22634,"Акціонерне товариство ""Уральські заводи""",legal,active,192/2023,2023-04-01,,,,,,,,,
22635,"Акціонерне товариство ""Фірма науковотехнічний центр Камі""",legal,active,192/2023,2023-04-01,,,,,,,,,
22636,"Акціонерне товариство ""Центр перспективних технологій і апаратури""",legal,active,192/2023,2023-04-01,,,,,,,,,
22637,"Акціонерне товариство ""Чебоксарський завод кабельних виробів ""Чувашкабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22638,"Акціонерне товариство ""Екран – оптичні системи""",legal,active,192/2023,2023-04-01,,,,,,,,,
22639,"Акціонерне товариство ""Електроагрегат""",legal,active,192/2023,2023-04-01,,,,,,,,,
22640,"Акціонерне товариство ""Електроагрегат""",legal,active,192/2023,2023-04-01,,,,,,,,,
22641,"Акціонерне товариство ""Електроісточнік""",legal,active,192/2023,2023-04-01,,,,,,,,,
22642,"Акціонерне товариство ""Електрокабель"" Кольчугінський завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22643,"Акціонерне товариство ""Електросоєдінітєль""",legal,active,192/2023,2023-04-01,,,,,,,,,
22644,"Акціонерне товариство ""Електрум АВ""",legal,active,192/2023,2023-04-01,,,,,,,,,
22645,"Акціонерне товариство ""Яуза-кабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22646,"Акціонерне товариство ""Орбіта""",legal,active,192/2023,2023-04-01,,,,,,,,,
22647,"Акціонерне товариство науково-виробнича компанія ""Техелектро""",legal,active,192/2023,2023-04-01,,,,,,,,,
22648,"Акціонерне товариство науково-виробниче підприємство ""РЕФ-Оптоелектроніка""",legal,active,192/2023,2023-04-01,,,,,,,,,
22649,"Акціонерне товариство ""Анод-центр""",legal,active,192/2023,2023-04-01,,,,,,,,,
22650,"Закрите акціонерне товариство ""Асоціація ЕВТ""",legal,active,192/2023,2023-04-01,,,,,,,,,
22651,"Закрите акціонерне товариство ""Конверсійне виробництво ""Альтаїр-1""",legal,active,192/2023,2023-04-01,,,,,,,,,
22652,"Закрите акціонерне товариство ""Наукововиробнича фірма ""Доломант""",legal,active,192/2023,2023-04-01,,,,,,,,,
22653,"Закрите акціонерне товариство ""Наукововиробнича фірма ""Прогрес-Равєнство""",legal,active,192/2023,2023-04-01,,,,,,,,,
22654,"Закрите акціонерне товариство ""Науковотехнічна виробнича організація ""Вектор""",legal,active,192/2023,2023-04-01,,,,,,,,,
22655,"Закрите акціонерне товариство ""Дослідний завод НДІХІТ""",legal,active,192/2023,2023-04-01,,,,,,,,,
22656,"Закрите акціонерне товариство ""Реом""",legal,active,192/2023,2023-04-01,,,,,,,,,
22657,"Закрите акціонерне товариство ""Супертехприбор""",legal,active,192/2023,2023-04-01,,,,,,,,,
22658,"Закрите акціонерне товариство ""Ерасіб""",legal,active,192/2023,2023-04-01,,,,,,,,,
22659,"Закрите акціонерне товариство Наукововиробниче об'єднання ""Каскад""",legal,active,192/2023,2023-04-01,,,,,,,,,
22660,"Закрите акціонерне товариство фірма ""Анагаз""",legal,active,192/2023,2023-04-01,,,,,,,,,
22661,"Акціонерне товариство ""Нижньогородське науково-виробниче об'єднання імені М.В. Фрунзе""",legal,active,192/2023,2023-04-01,,,,,,,,,
22662,"Товариство з обмеженою відповідальністю ""Ніколь""",legal,active,192/2023,2023-04-01,,,,,,,,,
22663,"Товариство з обмеженою відповідальністю ""Абтронікс""",legal,active,192/2023,2023-04-01,,,,,,,,,
22664,"Товариство з обмеженою відповідальністю ""Автоматичні системи""",legal,active,192/2023,2023-04-01,,,,,,,,,
22665,"Товариство з обмеженою відповідальністю ""Аєдон""",legal,active,192/2023,2023-04-01,,,,,,,,,
22666,"Товариство з обмеженою відповідальністю ""Алєксандер елєктрік істочнікі елєктропітанія""",legal,active,192/2023,2023-04-01,,,,,,,,,
22667,"Товариство з обмеженою відповідальністю ""Алтайський геофізичний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22668,"Товариство з обмеженою відповідальністю ""Алунд керамік""",legal,active,192/2023,2023-04-01,,,,,,,,,
22669,"Товариство з обмеженою відповідальністю ""АМП комплект""",legal,active,192/2023,2023-04-01,,,,,,,,,
22670,"Товариство з обмеженою відповідальністю ""Анікс""",legal,active,192/2023,2023-04-01,,,,,,,,,
22671,"Товариство з обмеженою відповідальністю ""Апаратура наземного і космічного зв'язку""",legal,active,192/2023,2023-04-01,,,,,,,,,
22672,"Товариство з обмеженою відповідальністю ""Аргус-ЕТ""",legal,active,192/2023,2023-04-01,,,,,,,,,
22673,"Товариство з обмеженою відповідальністю ""Бі Пітрон""",legal,active,192/2023,2023-04-01,,,,,,,,,
22674,"Товариство з обмеженою відповідальністю ""Віра""",legal,active,192/2023,2023-04-01,,,,,,,,,
22675,"Товариство з обмеженою відповідальністю ""Волмаг""",legal,active,192/2023,2023-04-01,,,,,,,,,
22676,"Товариство з обмеженою відповідальністю ""Глобалтест""",legal,active,192/2023,2023-04-01,,,,,,,,,
22677,"Товариство з обмеженою відповідальністю ""Глобальні системи""",legal,active,192/2023,2023-04-01,,,,,,,,,
22678,"Товариство з обмеженою відповідальністю ""Єлабузький акумуляторний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22679,"Товариство з обмеженою відповідальністю ""Завод Москабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22680,"Товариство з обмеженою відповідальністю ""Завод Реостат""",legal,active,192/2023,2023-04-01,,,,,,,,,
22681,"Товариство з обмеженою відповідальністю ""Завод Русніт""",legal,active,192/2023,2023-04-01,,,,,,,,,
22682,"Товариство з обмеженою відповідальністю ""Інженерний центр ""Борей""",legal,active,192/2023,2023-04-01,,,,,,,,,
22683,"Товариство з обмеженою відповідальністю ""Інноваційні підводні технології""",legal,active,192/2023,2023-04-01,,,,,,,,,
22684,"Товариство з обмеженою відповідальністю ""Інтек""",legal,active,192/2023,2023-04-01,,,,,,,,,
22685,"Товариство з обмеженою відповідальністю ""Ірбіс-5""",legal,active,192/2023,2023-04-01,,,,,,,,,
22686,"Товариство з обмеженою відповідальністю ""ІРЗ-Фотон""",legal,active,192/2023,2023-04-01,,,,,,,,,
22687,"Товариство з обмеженою відповідальністю ""Камський кабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22688,"Товариство з обмеженою відповідальністю ""КВ Системи""",legal,active,192/2023,2023-04-01,,,,,,,,,
22689,"Товариство з обмеженою відповідальністю ""Квантово-оптичні системи""",legal,active,192/2023,2023-04-01,,,,,,,,,
22690,"Товариство з обмеженою відповідальністю ""Комм-інфо""",legal,active,192/2023,2023-04-01,,,,,,,,,
22691,"Товариство з обмеженою відповідальністю ""Конструкторське бюро точного приладобудування""",legal,active,192/2023,2023-04-01,,,,,,,,,
22692,"Товариство з обмеженою відповідальністю ""Кріп техно""",legal,active,192/2023,2023-04-01,,,,,,,,,
22693,"Товариство з обмеженою відповідальністю ""Кристали, оптика, лазерні технології""",legal,active,192/2023,2023-04-01,,,,,,,,,
22694,"Товариство з обмеженою відповідальністю ""Кузнецький завод конденсаторів""",legal,active,192/2023,2023-04-01,,,,,,,,,
22695,"Товариство з обмеженою відповідальністю ""Л Кард""",legal,active,192/2023,2023-04-01,,,,,,,,,
22696,"Товариство з обмеженою відповідальністю ""Лабораторія засобів індикації""",legal,active,192/2023,2023-04-01,,,,,,,,,
22697,"Товариство з обмеженою відповідальністю ""Ломо метео""",legal,active,192/2023,2023-04-01,,,,,,,,,
22698,"Товариство з обмеженою відповідальністю ""Мікроакустика""",legal,active,192/2023,2023-04-01,,,,,,,,,
22699,"Товариство з обмеженою відповідальністю ""Московський прожекторний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22700,"Товариство з обмеженою відповідальністю ""Московський електроламповий завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22701,"Товариство з обмеженою відповідальністю ""Митищинський приладобудівний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22702,"Товариство з обмеженою відповідальністю ""Науково-виробнича фірма ""Люмексзахист""",legal,active,192/2023,2023-04-01,,,,,,,,,
22703,"Товариство з обмеженою відповідальністю ""Науково-виробниче об'єднання ""АМБ""",legal,active,192/2023,2023-04-01,,,,,,,,,
22704,"Товариство з обмеженою відповідальністю ""Науково-виробниче підприємство ""Ітелма""",legal,active,192/2023,2023-04-01,,,,,,,,,
22705,"Товариство з обмеженою відповідальністю ""Науково-виробниче підприємство ""Літій""",legal,active,192/2023,2023-04-01,,,,,,,,,
22706,"Товариство з обмеженою відповідальністю ""Науково-виробниче підприємство ""Оптон""",legal,active,192/2023,2023-04-01,,,,,,,,,
22707,"Товариство з обмеженою відповідальністю ""Науково-виробниче підприємство ""Старт7""",legal,active,192/2023,2023-04-01,,,,,,,,,
22708,"Товариство з обмеженою відповідальністю ""Науково-виробниче підприємство ""Екар""",legal,active,192/2023,2023-04-01,,,,,,,,,
22709,"Товариство з обмеженою відповідальністю ""Науково-технічний центр ""Восток""",legal,active,192/2023,2023-04-01,,,,,,,,,
22710,"Товариство з обмеженою відповідальністю ""Новосибірський завод конденсаторів""",legal,active,192/2023,2023-04-01,,,,,,,,,
22711,"Товариство з обмеженою відповідальністю ""Нові технології і матеріали""",legal,active,192/2023,2023-04-01,,,,,,,,,
22712,"Товариство з обмеженою відповідальністю ""ОКС 01""",legal,active,192/2023,2023-04-01,,,,,,,,,
22713,"Товариство з обмеженою відповідальністю ""Поліконд""",legal,active,192/2023,2023-04-01,,,,,,,,,
22714,"Товариство з обмеженою відповідальністю ""Посейдон""",legal,active,192/2023,2023-04-01,,,,,,,,,
22715,"Товариство з обмеженою відповідальністю ""Проектно-конструкторське бюро ""Омега""",legal,active,192/2023,2023-04-01,,,,,,,,,
22716,"Товариство з обмеженою відповідальністю ""Радіокомп""",legal,active,192/2023,2023-04-01,,,,,,,,,
22717,"Товариство з обмеженою відповідальністю ""Радіокомпоненти""",legal,active,192/2023,2023-04-01,,,,,,,,,
22718,"Товариство з обмеженою відповідальністю ""Редан""",legal,active,192/2023,2023-04-01,,,,,,,,,
22719,"Товариство з обмеженою відповідальністю ""Резонанс""",legal,active,192/2023,2023-04-01,,,,,,,,,
22720,"Товариство з обмеженою відповідальністю ""Рибинський кабельний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22721,"Товариство з обмеженою відповідальністю ""Саранськкабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22722,"Товариство з обмеженою відповідальністю ""Саранськкабель-Оптика""",legal,active,192/2023,2023-04-01,,,,,,,,,
22723,"Товариство з обмеженою відповідальністю ""Сенсор""",legal,active,192/2023,2023-04-01,,,,,,,,,
22724,"Товариство з обмеженою відповідальністю ""СМТТ. Високовольтні рішення""",legal,active,192/2023,2023-04-01,,,,,,,,,
22725,"Товариство з обмеженою відповідальністю ""Стимул""",legal,active,192/2023,2023-04-01,,,,,,,,,
22726,"Товариство з обмеженою відповідальністю ""Телемеханічні інженерні системи""",legal,active,192/2023,2023-04-01,,,,,,,,,
22727,"Товариство з обмеженою відповідальністю ""Телепорт-монтаж""",legal,active,192/2023,2023-04-01,,,,,,,,,
22728,"Товариство з обмеженою відповідальністю ""Техпром""",legal,active,192/2023,2023-04-01,,,,,,,,,
22729,"Товариство з обмеженою відповідальністю ""Уфімкабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22730,"Товариство з обмеженою відповідальністю ""Фазар""",legal,active,192/2023,2023-04-01,,,,,,,,,
22731,"Товариство з обмеженою відповідальністю ""Електропром""",legal,active,192/2023,2023-04-01,,,,,,,,,
22732,"Товариство з обмеженою відповідальністю ""Ем-кабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22733,"Товариство з обмеженою відповідальністю ""Ірісмаш""",legal,active,192/2023,2023-04-01,,,,,,,,,
22734,"Товариство з обмеженою відповідальністю Науково-виробнича компанія ""Фаворит""",legal,active,192/2023,2023-04-01,,,,,,,,,
22735,"Товариство з обмеженою відповідальністю Науково-виробнича фірма ""Мета""",legal,active,192/2023,2023-04-01,,,,,,,,,
22736,"Товариство з обмеженою відповідальністю Науково-виробнича фірма ""Ролєв""",legal,active,192/2023,2023-04-01,,,,,,,,,
22737,"Товариство з обмеженою відповідальністю Науково-виробниче об'єднання ""Фаворит""",legal,active,192/2023,2023-04-01,,,,,,,,,
22738,"Товариство з обмеженою відповідальністю Науково-виробниче об'єднання ""Електромаш""",legal,active,192/2023,2023-04-01,,,,,,,,,
22739,"Товариство з обмеженою відповідальністю НПП ""Спецкабель""",legal,active,192/2023,2023-04-01,,,,,,,,,
22740,"Товариство з обмеженою відповідальністю фірма ""Інструмент-Н""",legal,active,192/2023,2023-04-01,,,,,,,,,
22741,"Відкрите акціонерне товариство ""Вибухозахищені електричні апарати низьковольтні""",legal,active,192/2023,2023-04-01,,,,,,,,,
22742,"Відкрите акціонерне товариство ""Донський завод радіодеталей""",legal,active,192/2023,2023-04-01,,,,,,,,,
22743,"Відкрите акціонерне товариство ""Завод ""Лєнтєплоприбор""",legal,active,192/2023,2023-04-01,,,,,,,,,
22744,"Відкрите акціонерне товариство ""Завод ""Мезон""",legal,active,192/2023,2023-04-01,,,,,,,,,
22745,"Відкрите акціонерне товариство ""Заряд""",legal,active,192/2023,2023-04-01,,,,,,,,,
22746,"Відкрите акціонерне товариство ""Льотні випробування і виробництво ім. Гризодубової В.С.""",legal,active,192/2023,2023-04-01,,,,,,,,,
22747,"Відкрите акціонерне товариство ""Машиноапарат""",legal,active,192/2023,2023-04-01,,,,,,,,,
22748,"Відкрите акціонерне товариство ""П'ятигорський завод ""Імпульс""",legal,active,192/2023,2023-04-01,,,,,,,,,
22749,"Відкрите акціонерне товариство ""Сервісспецтехніка""",legal,active,192/2023,2023-04-01,,,,,,,,,
22750,"Відкрите акціонерне товариство ""Созвєздіє – Сарапульскій радіозавод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22751,"Відкрите акціонерне товариство ""Тєрмоприбор""",legal,active,192/2023,2023-04-01,,,,,,,,,
22752,"Публічне акціонерне товариство ""Завод ""Реконд""",legal,active,192/2023,2023-04-01,,,,,,,,,
22753,"Публічне акціонерне товариство ""Калузький завод автомобільного електрообладнання""",legal,active,192/2023,2023-04-01,,,,,,,,,
22754,"Публічне акціонерне товариство ""Мстатор""",legal,active,192/2023,2023-04-01,,,,,,,,,
22755,"Публічне акціонерне товариство ""Прожекторниє углі""",legal,active,192/2023,2023-04-01,,,,,,,,,
22756,"Публічне акціонерне товариство ""Елєктровипрямітєль""",legal,active,192/2023,2023-04-01,,,,,,,,,
22757,"Акціонерне товариство ""Завод Корпусів""",legal,active,192/2023,2023-04-01,,,,,,,,,
22758,"Товариство з обмеженою відповідальністю ""Большиє сістєми""",legal,active,192/2023,2023-04-01,,,,,,,,,
22759,"Товариство з обмеженою відповідальністю ""Оптика.Сигнали.Антени""",legal,active,192/2023,2023-04-01,,,,,,,,,
22760,"Товариство з обмеженою відповідальністю ""Т-компонент СП""",legal,active,192/2023,2023-04-01,,,,,,,,,
22761,"Федеральне казенне підприємство ""Алексінський хімічний комбінат""",legal,active,192/2023,2023-04-01,,,,,,,,,
22762,"Федеральне казенне підприємство ""Анозіт""",legal,active,192/2023,2023-04-01,,,,,,,,,
22763,"Федеральне казенне підприємство ""Науково-виробниче об'єднання ""Казанський завод точного машинобудування""",legal,active,192/2023,2023-04-01,,,,,,,,,
22764,"Федеральне казенне підприємство ""Комбінат ""Кам'янський""",legal,active,192/2023,2023-04-01,,,,,,,,,
22765,"Акціонерне товариство ""Наукововиробниче об'єднання ""Електромашина""",legal,active,192/2023,2023-04-01,,,,,,,,,
22766,"Акціонерне товариство ""Бійське виробниче об'єднання ""Сібприбормаш""",legal,active,192/2023,2023-04-01,,,,,,,,,
22767,"Акціонерне товариство ""Нижнєломовський електромеханічний завод""",legal,active,192/2023,2023-04-01,,,,,,,,,
22768,"Відкрите акціонерне товариство ""Славгородський завод радіоапаратури""",legal,active,192/2023,2023-04-01,,,,,,,,,
23120,"Товариство з обмеженою відповідальністю ""Група компаній О-Сі-Ес""",legal,active,227/2023,2023-04-15,,,,,,,,,
23121,"Товариство з обмеженою відповідальністю ""Марвел КТ""",legal,active,227/2023,2023-04-15,,,,,,,,,
23122,"Акціонерне товариство ""Софтлайн трейд""",legal,active,227/2023,2023-04-15,,,,,,,,,
23123,"Акціонерне товариство ""Ікс-Холдинг""",legal,active,227/2023,2023-04-15,,,,,,,,,
23124,"Товариство з обмеженою відповідальністю ""Сибірська інтернет компанія""",legal,active,227/2023,2023-04-15,,,,,,,,,
23125,"Товариство з обмеженою відповідальністю ""Т1""",legal,active,227/2023,2023-04-15,,,,,,,,,
23126,"Асоціація учасників ринку інформаційних технологій ""Ліга цифрової економіки""",legal,active,227/2023,2023-04-15,,,,,,,,,
23127,"Товариство з обмеженою відповідальністю ""Газпромнафта-цифрові рішення""",legal,active,227/2023,2023-04-15,,,,,,,,,
23128,"Товариство з обмеженою відповідальністю ""Група компаній ""Мікрон""",legal,active,227/2023,2023-04-15,,,,,,,,,
23129,"Закрите акціонерне товариство ""Крок інкорпорейтед""",legal,active,227/2023,2023-04-15,,,,,,,,,
23130,"Акціонерне товариство ""ГС-Інвест""",legal,active,227/2023,2023-04-15,,,,,,,,,
23131,"Акціонерне товариство ""Ай-Теко""",legal,active,227/2023,2023-04-15,,,,,,,,,
23132,"Акціонерне товариство ""Інфосистеми Джет""",legal,active,227/2023,2023-04-15,,,,,,,,,
23133,"Товариство з обмеженою відповідальністю ""Асбіс""",legal,active,227/2023,2023-04-15,,,,,,,,,
23134,"Товариство з обмеженою відповідальністю ""Новий Ай Ті Проект""",legal,active,227/2023,2023-04-15,,,,,,,,,
23135,"Публічне акціонерне товариство ""Газпром автоматизація""",legal,active,227/2023,2023-04-15,,,,,,,,,
23136,"Закрите акціонерне товариство ""Центр фінансових технологій""",legal,active,227/2023,2023-04-15,,,,,,,,,
23137,"Акціонерне товариство ""Група компаній Систематика""",legal,active,227/2023,2023-04-15,,,,,,,,,
23138,"Товариство з обмеженою відповідальністю ""Форс – Центр розробки""",legal,active,227/2023,2023-04-15,,,,,,,,,
23139,"Товариство з обмеженою відповідальністю ""МП""",legal,active,227/2023,2023-04-15,,,,,,,,,
23140,"Акціонерне товариство ""Виробнича фірма ""СКБ Контур""",legal,active,227/2023,2023-04-15,,,,,,,,,
23141,"Акціонерне товариство ""АйСіЕл-КПО ВС""",legal,active,227/2023,2023-04-15,,,,,,,,,
23142,"Товариство з обмеженою відповідальністю ""ОВ Сервіс""",legal,active,227/2023,2023-04-15,,,,,,,,,
23143,"Товариство з обмеженою відповідальністю ""ОВ Інтеграція""",legal,active,227/2023,2023-04-15,,,,,,,,,
23144,"Товариство з обмеженою відповідальністю ""Компас Плюс""",legal,active,227/2023,2023-04-15,,,,,,,,,
23145,"Товариство з обмеженою відповідальністю ""Єкассір""",legal,active,227/2023,2023-04-15,,,,,,,,,
23146,"Товариство з обмеженою відповідальністю ""Єкассір – банківські системи""",legal,active,227/2023,2023-04-15,,,,,,,,,
23147,"Товариство з обмеженою відповідальністю ""Єкассір софт""",legal,active,227/2023,2023-04-15,,,,,,,,,
23148,"Акціонерне товариство ""Смарткард-сервіс""",legal,active,227/2023,2023-04-15,,,,,,,,,
23149,"Товариство з обмеженою відповідальністю ""СКС""",legal,active,227/2023,2023-04-15,,,,,,,,,
23150,"Товариство з обмеженою відповідальністю ""Лофтскул""",legal,active,227/2023,2023-04-15,,,,,,,,,
23151,"Товариство з обмеженою відповідальністю ""Цифрові освітні рішення""",legal,active,227/2023,2023-04-15,,,,,,,,,
23152,"Товариство з обмеженою відповідальністю ""Інтерактивні навчальні технології""",legal,active,227/2023,2023-04-15,,,,,,,,,
23153,"Товариство з обмеженою відповідальністю ""Трівіум""",legal,active,227/2023,2023-04-15,,,,,,,,,
23154,"Товариство з обмеженою відповідальністю ""Хекслет Рус""",legal,active,227/2023,2023-04-15,,,,,,,,,
23155,"Товариство з обмеженою відповідальністю ""Отус онлайн-освіта""",legal,active,227/2023,2023-04-15,,,,,,,,,
23156,"Товариство з обмеженою відповідальністю ""Піксель.Стаді""",legal,active,227/2023,2023-04-15,,,,,,,,,
23157,"Товариство з обмеженою відповідальністю ""Скілбокс""",legal,active,227/2023,2023-04-15,,,,,,,,,
23158,"Товариство з обмеженою відповідальністю ""Бруноям""",legal,active,227/2023,2023-04-15,,,,,,,,,
23159,"Товариство з обмеженою відповідальністю ""Скілфекторі""",legal,active,227/2023,2023-04-15,,,,,,,,,
23160,"Автономна некомерційна організація додаткової професійної освіти ""Академія Топ""",legal,active,227/2023,2023-04-15,,,,,,,,,
23161,"Товариство з обмеженою відповідальністю ""Ікс вай зет нетворк""",legal,active,227/2023,2023-04-15,,,,,,,,,
23162,"Товариство з обмеженою відповідальністю ""Едюсон""",legal,active,227/2023,2023-04-15,,,,,,,,,
23163,"Товариство з обмеженою відповідальністю ""Сучасні форми освіти""",legal,active,227/2023,2023-04-15,,,,,,,,,
23164,"Товариство з обмеженою відповідальністю ""Алгоритміка""",legal,active,227/2023,2023-04-15,,,,,,,,,
23165,"Товариство з обмеженою відповідальністю ""Зерокодер""",legal,active,227/2023,2023-04-15,,,,,,,,,
23166,"Товариство з обмеженою відповідальністю ""Гікбреінс""",legal,active,227/2023,2023-04-15,,,,,,,,,
23167,"Товариство з обмеженою відповідальністю ""Скаєнг""",legal,active,227/2023,2023-04-15,,,,,,,,,
23168,"Освітня автономна некомерційна організація додаткової професійної освіти ""Скаєнг""",legal,active,227/2023,2023-04-15,,,,,,,,,
23169,"Товариство з обмеженою відповідальністю ""Карпов курси""",legal,active,227/2023,2023-04-15,,,,,,,,,
23170,"Автономна некомерційна організація додаткової професійної освіти ""Академія Айті""",legal,active,227/2023,2023-04-15,,,,,,,,,
23171,Агатон Лімітед,legal,active,227/2023,2023-04-15,,,,,,,,,
23172,"Товариство з обмеженою відповідальністю ""Кодді""",legal,active,227/2023,2023-04-15,,,,,,,,,
23173,"Товариство з обмеженою відповідальністю ""Школа сучасних професій Інтерра""",legal,active,227/2023,2023-04-15,,,,,,,,,
23174,"Товариство з обмеженою відповідальністю ""Центр розвитку цифрових платформ""",legal,active,227/2023,2023-04-15,,,,,,,,,
23175,"Товариство з обмеженою відповідальністю ""РТ-Інвест транспортні системи""",legal,active,227/2023,2023-04-15,,,,,,,,,
23176,"Товариство з обмеженою відповідальністю ""Ер Сі О""",legal,active,227/2023,2023-04-15,,,,,,,,,
23177,"Товариство з обмеженою відповідальністю ""ТС цифрові технології""",legal,active,227/2023,2023-04-15,,,,,,,,,
23178,"Товариство з обмеженою відповідальністю ""Т1Клауд""",legal,active,227/2023,2023-04-15,,,,,,,,,
23179,"Товариство з обмеженою відповідальністю ""Група компаній ""Іннотех""",legal,active,227/2023,2023-04-15,,,,,,,,,
23180,"Товариство з обмеженою відповідальністю ""Т1 Діджитал""",legal,active,227/2023,2023-04-15,,,,,,,,,
23181,"Товариство з обмеженою відповідальністю ""Т-Дата""",legal,active,227/2023,2023-04-15,,,,,,,,,
23182,"Товариство з обмеженою відповідальністю ""ТС-Центр""",legal,active,227/2023,2023-04-15,,,,,,,,,
23183,"Товариство з обмеженою відповідальністю ""Дататех""",legal,active,227/2023,2023-04-15,,,,,,,,,
23184,"Товариство з обмеженою відповідальністю ""ТСК Технолоджі""",legal,active,227/2023,2023-04-15,,,,,,,,,
23185,"Товариство з обмеженою відповідальністю ""Т1 Інновації""",legal,active,227/2023,2023-04-15,,,,,,,,,
23186,"Товариство з обмеженою відповідальністю ""Сервіоніка""",legal,active,227/2023,2023-04-15,,,,,,,,,
23187,"Товариство з обмеженою відповідальністю ""ТС Інтеграція""",legal,active,227/2023,2023-04-15,,,,,,,,,
23188,"Товариство з обмеженою відповідальністю ""Техносерв АС""",legal,active,227/2023,2023-04-15,,,,,,,,,
23189,"Товариство з обмеженою відповідальністю ""ТС-Фінтех""",legal,active,227/2023,2023-04-15,,,,,,,,,
23190,"Товариство з обмеженою відповідальністю ""Бітрікс24""",legal,active,227/2023,2023-04-15,,,,,,,,,
23191,"Товариство з обмеженою відповідальністю ""Компанія ВК""",legal,active,227/2023,2023-04-15,,,,,,,,,
23192,"Товариство з обмеженою відповідальністю ""ІБС Експертиза""",legal,active,227/2023,2023-04-15,,,,,,,,,
23193,"Акціонерне товариство лабораторія нових інформаційних технологій ""Ланіт""",legal,active,227/2023,2023-04-15,,,,,,,,,
23194,"Акціонерне товариство ""Сітронікс""",legal,active,227/2023,2023-04-15,,,,,,,,,
23195,"Товариство з обмеженою відповідальністю ""Авесто""",legal,active,227/2023,2023-04-15,,,,,,,,,
23196,"Товариство з обмеженою відповідальністю ""Алт мастєр""",legal,active,227/2023,2023-04-15,,,,,,,,,
23197,"Товариство з обмеженою відповідальністю ""МТ-електро""",legal,active,227/2023,2023-04-15,,,,,,,,,
23198,"Товариство з обмеженою відповідальністю ""АТБ електроніка""",legal,active,227/2023,2023-04-15,,,,,,,,,
23199,"Товариство з обмеженою відповідальністю ""Вега-абсолют""",legal,active,227/2023,2023-04-15,,,,,,,,,
23200,"Закрите акціонерне товариство ""Завод ім. Козицького""",legal,active,227/2023,2023-04-15,,,,,,,,,
23201,"Товариство з обмеженою відповідальністю ""Кама-контракт""",legal,active,227/2023,2023-04-15,,,,,,,,,
23202,"Публічне акціонерне товариство ""Моріон""",legal,active,227/2023,2023-04-15,,,,,,,,,
23203,"Товариство з обмеженою відповідальністю ""Смартемсіс""",legal,active,227/2023,2023-04-15,,,,,,,,,
